timestamp_ms,track_id,x_mm,y_mm,vx_mm_s,vy_mm_s,label
0,drone_forward,0,50000,8200,200,drone
600,drone_forward,4920,50120,8100,220,drone
1200,drone_forward,9780,50252,8300,180,drone
1800,drone_forward,14760,50360,8150,210,drone
2400,drone_forward,19650,50486,8250,190,drone
0,uav_hover,0,42000,650,80,hover
700,uav_hover,455,42056,620,70,hover
1400,uav_hover,889,42105,680,90,hover
2100,uav_hover,1365,42168,640,75,hover
2800,uav_hover,1813,42220,660,85,hover
0,person_crossing,0,6000,900,800,person
600,person_crossing,540,6480,-800,900,person
1200,person_crossing,60,7020,850,-750,person
1800,person_crossing,570,6570,-900,-700,person
2400,person_crossing,30,6150,800,850,person
0,bird_turning,0,30000,4000,200,bird
600,bird_turning,2400,30120,11000,1000,bird
1200,bird_turning,9000,30720,-3000,9000,bird
1800,bird_turning,7200,36120,-12000,-1000,bird
2400,bird_turning,0,35520,5000,-8000,bird
0,vehicle_fast,0,100000,28000,0,car
600,vehicle_fast,16800,100000,36000,1200,car
1200,vehicle_fast,38400,100720,24000,-1800,car
1800,vehicle_fast,52800,99640,38000,2500,car
2400,vehicle_fast,75600,101140,30000,-2200,car
0,static_clutter,1000,1000,40,20,clutter
700,static_clutter,1028,1014,30,10,clutter
1400,static_clutter,1049,1021,20,20,clutter
2100,static_clutter,1063,1035,25,15,clutter
2800,static_clutter,1080,1045,30,10,clutter
